customerID,Churn,customer_gender,customer_SeniorCitizen,customer_Partner,customer_Dependents,customer_tenure,phone_PhoneService,phone_MultipleLines,internet_InternetService,internet_OnlineSecurity,internet_OnlineBackup,internet_DeviceProtection,internet_TechSupport,internet_StreamingTV,internet_StreamingMovies,account_Contract,account_PaperlessBilling,account_PaymentMethod,account_Charges.Monthly,account_Charges.Total,qtd_servicos_ativos,nivel_servico,partner_dependents
0002-ORFBO,False,Female,False,Yes,Yes,9,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Cheque enviado,65.6,593.3,5,Serviços intermediários,Yes_Yes
0003-MKNFE,False,Male,False,No,No,9,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Cheque enviado,59.9,542.4,4,Serviços intermediários,No_No
0004-TLHLJ,True,Male,False,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Cheque eletrônico,73.9,280.85,3,Serviços intermediários,No_No
0011-IGKFF,True,Male,True,Yes,No,13,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Cheque eletrônico,98.0,1237.85,6,Serviço completo,Yes_No
0013-EXCHZ,True,Female,True,Yes,No,3,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Cheque enviado,83.9,267.4,4,Serviços intermediários,Yes_No
0013-MHZWF,False,Female,False,No,Yes,9,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Cartão de crédito (automático),69.4,571.45,5,Serviços intermediários,No_Yes
0013-SMEOE,False,Female,True,Yes,No,71,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Transferência bancária (automática),109.7,7904.25,8,Serviço completo,Yes_No
0014-BMAQU,False,Male,False,Yes,No,63,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Cartão de crédito (automático),84.65,5377.8,5,Serviços intermediários,Yes_No
0015-UOCOJ,False,Female,True,No,No,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Cheque eletrônico,48.2,340.35,3,Serviços intermediários,No_No
0016-QLJIS,False,Female,False,Yes,Yes,65,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Cheque enviado,90.45,5957.9,9,Serviço completo,Yes_Yes
0017-DINOC,False,Male,False,No,No,54,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Cartão de crédito (automático),45.2,2460.55,5,Serviços intermediários,No_No
0017-IUDMW,False,Female,False,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Cartão de crédito (automático),116.8,8456.75,9,Serviço completo,Yes_Yes
0018-NYROU,False,Female,False,Yes,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Cheque eletrônico,68.95,351.5,2,Serviços básicos,Yes_No
